DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-33.437520231714416
LONGITUD,-70.62644086527894
ALTURA,591.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.86,0.78,1.00,0.00
2007-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.14,0.74,1.00,0.00
2007-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.10,0.63,1.00,0.00
2007-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.25,0.43,1.00,0.00
2007-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.10,0.19,1.00,0.00
2007-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.64,0.22,1.00,0.00
2007-01-01 06:00:00,16.20,0.00,15.87,0.33,17.26,0.00,17.26,0.00,14.05,0.29,1.00,0.00
2007-01-01 07:00:00,92.55,44.20,43.65,4.70,242.74,195.26,47.48,743.77,16.29,0.65,0.00,0.00
2007-01-01 08:00:00,327.12,256.92,61.17,9.02,466.16,399.62,66.54,870.12,18.87,0.97,0.00,0.00
2007-01-01 09:00:00,564.34,476.30,74.93,13.11,677.34,595.84,81.50,931.82,22.04,1.46,0.00,0.00
2007-01-01 10:00:00,772.01,669.71,85.68,16.61,857.96,764.76,93.20,967.21,24.93,1.87,0.00,0.00
2007-01-01 11:00:00,929.64,816.98,93.42,19.24,993.66,892.04,101.62,988.15,27.25,2.43,0.00,0.00
2007-01-01 12:00:00,1019.19,900.79,97.69,20.71,1069.72,963.46,106.26,995.34,28.79,2.85,0.00,0.00
